date,startup,industry,subvertical,city,investors,investment_type,amount
31-03-2017,icertis,technology,ERP solutions provider,Pune,B Capital Group,Private Equity,25000000
06-02-2017,capital float,consumer internet,Online lending platform,Bengaluru,IFMR Capital Finance,Private Equity,2500000
07-02-2017,inner hour,consumer internet,Online Counselling Platform,Mumbai,Batlivala & Karani Securities,Seed Funding,450000
07-02-2017,travel triangle,consumer internet,Online travel agent marketplace,Noida,RB Investments,Private Equity,10000000
08-02-2017,wandertrails,consumer internet,"Online Travel, Adventure & Activities Portal",Bengaluru,Earlsfield Capital,Seed Funding,1000000
08-02-2017,zenatix,technology,IoT Based Energy Monitoring & Control,Gurugram,pi Ventures,Private Equity,1200000
08-02-2017,cartrade,consumer internet,Automobile Classifieds Portal,Mumbai,Temasek Holdings,Private Equity,55000000
08-02-2017,edurev,consumer internet,Online Education Portal,Gurugram,Facebook FB Start programme,Seed Funding,40000
09-02-2017,voonik,ecommerce,Women Apparel & Lifestyle etailer,Bengaluru,RB Investments,Private Equity,6000000
09-02-2017,wooplr,ecommerce,Women Fashion Portal,Bengaluru,Sistema Asia Fund,Private Equity,8000000
10-02-2017,48east,ecommerce,Online Food Delivery Platform,Bengaluru,Al Dhaheri family,Private Equity,500000
13-02-2017,sigtuple,technology,Medical Automation platform,Bengaluru,Accel Partners,Private Equity,5800000
13-02-2017,flutura,technology,Decision Sciences Analytics Solutions,Bengaluru,Vertex Ventures,Private Equity,7500000
13-02-2017,wassup,consumer internet,On Demand Laundry & Dry Cleaning Services,Chennai,Anil Jain & other HNIs,Private Equity,3200000
13-02-2017,better mortgage,consumer internet,Mortgage Offering Platform,Gurugram,Kleiner Perkins,Private Equity,15000000
13-02-2017,nurturey,consumer internet,Parenting Mobile App,New Delhi,Mohit Joshi & Others,Seed Funding,330000
13-02-2017,fyle,technology,Expense Management Solution,Bengaluru,Pravega Ventures,Seed Funding,400000
14-02-2017,gobumpr,consumer internet,Online Bike & Car Services provider,Chennai,Mahalingam K,Seed Funding,300000
14-02-2017,ccavenue,consumer internet,Online Payment Gateway,Mumbai,Infibeam,Private Equity,22400000
15-02-2017,zestmoney,consumer internet,Online Consumer Lending platform,Bengaluru,PayU,Private Equity,6500000
15-02-2017,airzaar,technology,Drone operations management platform,Missourie,Quake Capital,Seed Funding,350000
16-02-2017,truebil,consumer internet,Online Marketplace for Used Cars,Mumbai,Shunwei Capital,Private Equity,3000000
16-02-2017,yourstory,consumer internet,Online Media,Bengaluru,Kalaari Capital Partners,Private Equity,3000000
17-02-2017,imaginate,technology,AR & VR platform,Hyderabad,SRI Capital,Seed Funding,500000
17-02-2017,the ken,consumer internet,Online Media Platform,Bengaluru,Aprameya Radhakrishna,Seed Funding,400000
17-02-2017,urban ladder,ecommerce,Online Furniture Store,Bengaluru,Kalaari Capital,Private Equity,15200000
17-02-2017,leopetra,ecommerce,Solution provider for pet needs,Mumbai,Facebook FBStart,Seed Funding,40000
18-02-2017,blood n care,consumer internet,First Aid care app,Gurugram,Facebook FBStart,Seed Funding,40000
20-02-2017,flipkart,ecommerce,Online Marketplace,Bengaluru,Bennett,Private Equity,38700000
21-02-2017,true balance,consumer internet,Mobile balance Checking App,Gurugram,Softbank Ventures Korea,Private Equity,15000000
22-02-2017,vebbler,consumer internet,Photo Sharing for Groups,Bengaluru,Facebook FBStart,Seed Funding,40000
23-02-2017,get my parking,consumer internet,Smart Parking Platform,New Delhi,Indian Angel Network (IAN),Private Equity,1100000
27-02-2017,biryani by kilo,consumer internet,Online Food Ordering & Delivery Portal,Gurugram,Chandigarh Angels,Seed Funding,375000
27-02-2017,johari shop,ecommerce,Online Jewellery etailer,Bengaluru,Undisclosed Investors,Seed Funding,94000
28-02-2017,neostencil,consumer internet,Live Online Coaching Classes,New Delhi,Brand Capital,Private Equity,1000000
28-02-2017,blackbuck,logistics,Online freight aggregator,Bengaluru,Sands Capital,Private Equity,70000000
02-01-2017,taxsutra,consumer internet,Online Tax Filing platform,Pune,TV Mohandas Pai,Seed Funding,366000
03-01-2017,tempgo,technology,IoT & SAAS Solutions for Transportation Industry,Panaji,K2 Capital,Seed Funding,825000
06-01-2017,leap india,logistics,Supply Chain Solutions Provider,Mumbai,India Nivesh Growth Fund,Private Equity,13000000
07-01-2017,freecharge,consumer internet,Mobile Wallet,Mumbai,Jasper Infotech Pvt Ltd,Private Equity,57000000
09-01-2017,ticketnew,consumer internet,Movie Ticket Booking platform,Chennai,Alibaba Pictures,Private Equity,35000000
10-01-2017,intelligence node,technology,SAAS Based Retail Analytics Solutions,Mumbai,BlackSoil Capital Pvt Ltd,Private Equity,800000
10-01-2017,securens,technology,e-surveillance services provider,Mumbai,Mayfield India,Private Equity,5000000
10-01-2017,loan frame,consumer internet,Small Business Loans Marketplace platform,Gurugram,Vedanta Capital,Private Equity,2250000
10-01-2017,medinfi,consumer internet,Doctor & Clinic Discovery portal,Bengaluru,Vinod Martin,Seed Funding,100000
10-01-2017,lenskart,ecommerce,Online eyewear retailer,Bengaluru,Ronnie Screwvala,Private Equity,3500000
12-01-2017,hansel.io,consumer internet,Real-time Mobile App Management Platform,Bengaluru,IDG Ventures,Private Equity,1350000
12-01-2017,square yards,consumer internet,Property Search Aggregator platform,Gurugram,Lohia Group,Private Equity,10000000
13-01-2017,roambee,technology,IoT smart Logistics and Asset Management Company,Mumbai,Deutsche Telekom Strategic Investments & Others,Private Equity,4100000
13-01-2017,iservice,consumer internet,Gadgets Repair & Service Booking platform,Bengaluru,Blume Ventures,Seed Funding,440000
14-01-2017,unaacademy,consumer internet,Online learning platform,Bengaluru,Nexus Venture Partners,Private Equity,4500000
16-01-2017,zolostays,consumer internet,Branded PG Accomodation booking platform,Bengaluru,Nexus Venture Partners,Private Equity,5000000
16-01-2017,hipcouch,consumer internet,Custom & Modular Furniture platform,Mumbai,Undisclosed Investors,Seed Funding,700000
17-01-2017,curiositi,consumer internet,Online Learning Platform,Bengaluru,Menterra Social Impact Fund,Private Equity,800000
17-01-2017,tinystep,consumer internet,Parenting Info & Social Network,Bengaluru,Flipkart,Private Equity,2000000
17-01-2017,practo,consumer internet,Online Healthcare platform,Bengaluru,Tencent,Private Equity,55000000
17-01-2017,ketchupp,consumer internet,Food Discovery Platform,New Delhi,India Quotient and others,Seed Funding,441000
17-01-2017,hoopy,consumer internet,Online Car Service Platform,Gwalior,undisclosed investors,Seed Funding,500000
17-01-2017,ezytruk,consumer internet,Logistics and truck aggregator platform,Bengaluru,Ajith Nair,Seed Funding,147000
18-01-2017,vahdam teas,ecommerce,Online Tea etailer,New Delhi,Mumbai Angels Network,Seed Funding,650000
18-01-2017,qwikspec,technology,Cloud-based construction,Bengaluru,Undisclosed Investors,Seed Funding,300000
19-01-2017,weddingz,consumer internet,Online Marketplace for Wedding Venues and vendors,Mumbai,Singularity Ventures,Private Equity,1000000
22-01-2017,messagif,consumer internet,social messaging platform,New Delhi,Undisclosed investor,Seed Funding,50000
23-01-2017,cuemath,technology,Maths Learning program,New Delhi,CapitalG,Private Equity,15000000
24-01-2017,khel now,consumer internet,Mobile-based Social Platform for Sports,Bengaluru,Indochine International,Private Equity,500000
24-01-2017,nowfloats,consumer internet,Platform to take businesses online,Hyderabad,Iron Pillar and IIFL,Private Equity,10000000
24-01-2017,lets transport,consumer internet,Online transport vehicle booking platform,Bengaluru,GMO Japan,Private Equity,4000000
25-01-2017,rml agtech,technology,Agri Decision Support Solution for farmers,Pune,IvyCap Ventures,Private Equity,4000000
25-01-2017,instasafe,technology,Security-as-a-Service solution provider,Bengaluru,ABM Knowledgeware,Private Equity,2200000
25-01-2017,infibeam,ecommerce,eCommerce Marketplace,Ahmedabad,Bennett,Private Equity,8800000
26-01-2017,airmed labs,consumer internet,Health Tests Booking platform & ePharmacy,Ahmedabad,Brand Capital,Private Equity,1400000
26-01-2017,99perhour,consumer internet,Hyper-local Handyman Service provider,Chennai,V Aanand R,Seed Funding,300000
30-01-2017,intuit things,technology,IoT solutions for home automation applications,Mumbai,Sanjay Mehta & Others ( The Ten Minute Million),Seed Funding,106000
30-01-2017,cloudrino,technology,Cloud based Virtual Servers,New Delhi,The Ten Minute Million,Seed Funding,22500
30-01-2017,fabx,ecommerce,Used Furniture Marketplace,Mumbai,The Ten Minute Million,Seed Funding,68000
30-01-2017,maptags,consumer internet,Smart Online address tags,Bengaluru,The Ten Minute Million,Seed Funding,18000
31-01-2017,heads up for tails,ecommerce,Online Pet Products Store,New Delhi,Undisclosed Investors,Private Equity,2000000
01-12-2016,sidqam,technology,Healthcare Software System,Noida,SQue Capital,Private Equity,1200000
01-12-2016,india lends,consumer internet,Online Instant personal Loan provider,New Delhi,DSG Consumer Partners,Private Equity,4000000
01-12-2016,slide app,consumer internet,Lock screen Rewards mobile app,New Delhi,Songhyun Investment,Private Equity,3600000
02-12-2016,badiyajobs,consumer internet,Entry-Level job Seekers platform,New Delhi,Undisclosed,Seed Funding,100000
02-12-2016,tygr,technology,Transport and logistics mobile App,Mumbai,Franchise India,Private Equity,3000000
05-12-2016,urdoorstep,ecommerce,Online Grocery Store,Bengaluru,Lakshmi Vilas Bank & undisclosed HNIs,Private Equity,1400000
06-12-2016,diro labs,consumer internet,Mobile Contacts Management app,New Delhi,Info Edge (India),Seed Funding,147000
07-12-2016,revv,consumer internet,Self-Driven Car Services booking portal,New Delhi,Edelweiss Private Equity,Private Equity,9000000
07-12-2016,wealthapp,consumer internet,Online Investment Advisory platform,Bengaluru,Venk Krishnan,Seed Funding,440000
08-12-2016,zest money,consumer internet,Online Consumer Lending platform,Mumbai,PayU,Private Equity,6500000
08-12-2016,gomechanic,consumer internet,Online Car servicing Booking platform,Gurugram,Venture Catalysts,Seed Funding,250000
09-12-2016,stalk buy love,ecommerce,Fashion Apparel eTailer,New Delhi,Kalaari Capital,Private Equity,6000000
09-12-2016,wittyparot,technology,Content Management & Productivity platform,Bengaluru,Mumbai Angels,Seed Funding,450000
09-12-2016,neuroequilibrium,technology,Health-Tech platform,Jaipur,Unicorn India Ventures,Seed Funding,250000
12-12-2016,xseed education,technology,Education & learning Tech platform,Bengaluru,Verlinvest SA,Private Equity,10000000
12-12-2016,rupaiya exchange,consumer internet,P2P Lending platform,New Delhi,Undisclosed Investors,Seed Funding,200000
12-12-2016,doctor insta,consumer internet,Online Doctor Consulting platform,Gurugram,RoundGlass Partners,Private Equity,2000000
12-12-2016,fresh food concepts,food & beverage,Cold Press Juice manufacturer & seller,New Delhi,Siddhartha Gupta,Seed Funding,2000000
13-12-2016,indifi,consumer internet,Online lending platform,Gurugram,Omidyar Network,Private Equity,10000000
13-12-2016,ofbusiness,ecommerce,Online business-to-business (B2B) marketplace,Gurugram,Zodius Technology Opportunities Fund,Private Equity,11100000
14-12-2016,qacco,consumer internet,Hotel Booking platform,Gurugram,Lead Angels Network,Seed Funding,150000
14-12-2016,fitpass,consumer internet,Fitness center aggregator & Booking mobile app,New Delhi,Mumbai Angels,Seed Funding,1000000
14-12-2016,trading bells,consumer internet,Online Share & Commodity Broking platform,Indore,Swastika Investmart Ltd,Seed Funding,297000
15-12-2016,serv'd,consumer internet,Financial Services For Unorganized Workforce,Pune,Digital Financial Service Lab,Seed Funding,100000
15-12-2016,ideaforge,technology,Drone Manufacturing,Mumbai,WRV Capital and IndusAge Partners,Private Equity,10000000
15-12-2016,amagi media labs,technology,Media Technology Solutions,Mumbai,Emerald Media,Private Equity,35000000
15-12-2016,pocket aces,technology,Digital Entertainment Company,Mumbai,Sequoia Capital India,Private Equity,3000000
16-12-2016,pi data centers,technology,Cloud Data Center Solutions provider,Hyderabad,Epsilon Venture Partners,Private Equity,23000000
16-12-2016,tripshelf,consumer internet,Holiday Packages provider,New Delhi,GEMS Advisory,Seed Funding,123000
19-12-2016,nobroker,consumer internet,Rental property search portal,Bengaluru,KTB Network,Private Equity,7400000
20-12-2016,vivocarat,ecommerce,Online jewellery marketplace,Mumbai,Undisclosed Investors,Seed Funding,50000
20-12-2016,byju's,consumer internet,Online Learning platform,Bengaluru,International Financial Corporation,Private Equity,15000000
21-12-2016,the bluebook,consumer internet,online to offline marketing platform,Bengaluru,Indian Angel Network,Seed Funding,500000
21-12-2016,vegetall,ecommerce,Online Vegetable eTailer,Chennai,The Chennai Angels,Seed Funding,162000
22-12-2016,mindler,consumer internet,Career Planning & Assessment platform,New Delhi,Taxmann,Seed Funding,324000
22-12-2016,mcaffeine,ecommerce,Personal care product etailer,Bengaluru,Kaushal Agarwal,Seed Funding,300000
23-12-2016,enkast,technology,Cloud based CRM for Agencies,Bengaluru,Ivy League Alumni Angel Network,Private Equity,2000000
26-12-2016,dekkho,consumer internet,Video Streaming platform,Mumbai,undisclosed investors,Seed Funding,1200000
26-12-2016,shadowfax,logistics,On-Demand Delivery Service,Gurugram,Eight Roads Ventures,Private Equity,10000000
27-12-2016,shopx,ecommerce,SAAS ECommerce Retail app,Bengaluru,Nandan Nilekani,Private Equity,5000000
29-12-2016,healthifyme,consumer internet,Fitness Mobile App,Bengaluru,NB Ventures,Private Equity,1000000
01-11-2016,pickmylaundry,consumer internet,On-Demand Washing & Dry Cleaning Services,New Delhi,Kedar Lele,Seed Funding,200000
02-11-2016,freshdesk,consumer internet,SAAS Based HelpDesk Services,Chennai,Sequoia Capital India,Private Equity,55000000
02-11-2016,laundryanna,consumer internet,On-Demand Washing & Dry Cleaning Services,Bengaluru,Undisclosed Investors,Seed Funding,150000
03-11-2016,zarget,technology,SaaS-based web optimisation and marketing platform,Chennai,Sequoia India,Private Equity,6000000
03-11-2016,easypolicy,consumer internet,Online insurance Portal,Noida,Unilazer Ventures,Private Equity,10000000
04-11-2016,connect india,logistics,Last mile Delivery Network,Bengaluru,Aavishkaar Venture Management,Private Equity,1000000
04-11-2016,corseco,technology,AI-based Software as a Service Solution provider,New Delhi,Ameera Shah,Seed Funding,150000
05-11-2016,medzin,ecommerce,Online ordering & Delivery of medicines,New Delhi,A M Sikander,Seed Funding,45000
05-11-2016,bizongo,ecommerce,Packaging Material Marketplace,Mumbai,IDG Ventures,Private Equity,3000000
07-11-2016,rivigo,technology,Technology based Logistics platform,Gurugram,Warburg Pincus,Private Equity,75000000
07-11-2016,justride,consumer internet,Online Car Sharing platform,Mumbai,Justin Kan,Private Equity,3000000
09-11-2016,iim jobs,consumer internet,Online Job Portal,New Delhi,India Quotient,Private Equity,2000000
09-11-2016,square yards,consumer internet,Online Property Search Portal,Gurugram,ADAG Reliance Private Equity,Private Equity,12000000
10-11-2016,golflan,consumer internet,Golf Session Online Bookings platform,New Delhi,YourNest Angel Fund,Private Equity,1000000
